Opportunity ID,Account ID,StageName,IsClosed,IsWon,CreatedDate,Term in Months,Service,Opportunity Type,Product Group,Building ID,Market,Street Address,City,State,Postal Code,Network Proximity,On Zayo Network Status,Latitude,Longtitude,Industry,MRR,CPQ
Opp-000001,Acct-000007,Failed,TRUE,FALSE,7/1/16,12,,New Service,Ethernet,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,"On Zayo Network
",33.755431,-84.391561,Telecommunications,1049807.216,3183446.942
Opp-000002,Acct-000986,Successful,TRUE,TRUE,7/1/16,60,,New Service,Dark Fiber - Metro,Bldg-016855,Atlanta,300 Satellite Blvd NW,Suwanee,GA,30024,374.79,"On Zayo Network
",34.0354213,-84.0608807,Energy & Manufacturing,2876.89816,119877.7946
Opp-000002,Acct-000986,Successful,TRUE,TRUE,7/1/16,60,,New Service,Dark Fiber - Metro,Bldg-109003,Atlanta,305 Satellite Blvd NW,Suwanee,GA,30024,250.74,"On Zayo Network
",34.0363742,-84.0633047,Energy & Manufacturing,2876.89816,119877.7946
Opp-000003,Acct-000011,Successful,TRUE,TRUE,7/1/16,36,,New Service,Dark Fiber - Metro,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,"On Zayo Network
",33.755431,-84.391561,Media & Content,610554.6235,1000480.207
Opp-000003,Acct-000011,Successful,TRUE,TRUE,7/1/16,36,,New Service,Dark Fiber - Metro,Bldg-038069,Atlanta,1100 Abernathy Rd NE,Atlanta,GA,30328,151.21,"On Zayo Network
",33.9338765,-84.3530428,Media & Content,610554.6235,1000480.207
Opp-000004,Acct-000143,Potential,FALSE,FALSE,7/1/16,,,New Service,Ethernet,Bldg-038068,Atlanta,1055 Spring St NW,Atlanta,GA,30309,185.76,"On Zayo Network
",33.783427,-84.388557,Professional Services,0,4644430.412
Opp-000005,Acct-000143,Potential,FALSE,FALSE,7/1/16,,,New Service,Wavelengths - Long Haul,Bldg-038068,Atlanta,1055 Spring St NW,Atlanta,GA,30309,185.76,"On Zayo Network
",33.783427,-84.388557,Professional Services,0,4644430.412
Opp-000006,Acct-000011,Potential,FALSE,FALSE,7/1/16,,,New Service,Ethernet,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,"On Zayo Network
",33.755431,-84.391561,Media & Content,610554.6235,1000480.207
Opp-000007,Acct-000011,Potential,FALSE,FALSE,7/1/16,12,,New Service,Ethernet,Bldg-038069,Atlanta,1100 Abernathy Rd NE,Atlanta,GA,30328,151.21,"On Zayo Network
",33.9338765,-84.3530428,Media & Content,610554.6235,1000480.207
Opp-000009,Acct-000950,Failed,TRUE,FALSE,7/1/16,,,New Service,IP Services,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,"On Zayo Network
",33.755431,-84.391561,Professional Services,0,513870.3382
Opp-000009,Acct-000950,Failed,TRUE,FALSE,7/1/16,,,New Service,IP Services,Bldg-015168,Denver,1850 Pearl St,Denver,CO,80203,103.07,"On Zayo Network
",39.745886,-104.9794996,Professional Services,0,513870.3382
Opp-000009,Acct-000950,Failed,TRUE,FALSE,7/1/16,,,New Service,IP Services,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,"On Zayo Network
",32.787255,-96.794118,Professional Services,0,513870.3382
