State	Network	Proximity	Price
GA	Not on Zayo Network	116.91	13507.30
GA	Not on Zayo Network	28323.03	689752.72
GA	On Zayo Network	979.44	33506.56
GA	Not on Zayo Network	177.41	15322.30
GA	Not on Zayo Network	22.89	10686.70
GA	Not on Zayo Network	2620.3	72887.20
GA	On Zayo Network	19.09	10572.70
GA	On Zayo Network	519.98	22479.52
GA	On Zayo Network	562.01	23488.24
GA	On Zayo Network	356.89	20706.70
GA	On Zayo Network	641.52	25396.48
GA	On Zayo Network	586.54	24076.96
GA	On Zayo Network	2146.59	61518.16
GA	Not on Zayo Network	369.05	21071.50
GA	On Zayo Network	132.27	13968.10
GA	On Zayo Network	187.28	15618.40
GA	Not on Zayo Network	629.35	25104.40
GA	On Zayo Network	216.45	16493.50
GA	Not on Zayo Network	652.04	25648.96
GA	On Zayo Network	330.01	19900.30
GA	Not on Zayo Network	611.64	24679.36
GA	On Zayo Network	266.34	17990.20
GA	Not on Zayo Network	677.87	26268.88
GA	On Zayo Network	1036.2	34868.80
GA	On Zayo Network	999.79	33994.96
GA	On Zayo Network	363.15	20894.50
GA	Not on Zayo Network	1067.03	35608.72
GA	Not on Zayo Network	822.36	29736.64
GA	Not on Zayo Network	742.83	27827.92
GA	On Zayo Network	388.87	21666.10
GA	Not on Zayo Network	163.18	14895.40
GA	On Zayo Network	428.61	22858.30
GA	On Zayo Network	248.94	17468.20
GA	Not on Zayo Network	115.27	13458.10
GA	Not on Zayo Network	187.93	15637.90
GA	On Zayo Network	134.49	14034.70
GA	On Zayo Network	141.17	14235.10
GA	On Zayo Network	949.66	32791.84
GA	On Zayo Network	254.68	17640.40
GA	On Zayo Network	705.93	26942.32
GA	On Zayo Network	126.75	13802.50
GA	Not on Zayo Network	441.6	23248.00
GA	On Zayo Network	2077.76	59866.24
GA	On Zayo Network	198.92	15967.60
GA	Not on Zayo Network	471.96	24158.80
GA	On Zayo Network	38.93	11167.90
GA	On Zayo Network	1351.83	42443.92
GA	On Zayo Network	176.67	15300.10
GA	On Zayo Network	146.47	14394.10
GA	On Zayo Network	424.08	22722.40
GA	On Zayo Network	225.47	16764.10
GA	Not on Zayo Network	117.23	13516.90
GA	On Zayo Network	1043.5	35044.00
GA	On Zayo Network	992.57	33821.68
GA	On Zayo Network	199.81	15994.30
GA	On Zayo Network	884.14	31219.36
GA	On Zayo Network	1180.79	38338.96
GA	Not on Zayo Network	107.89	13236.70
GA	On Zayo Network	310.7	19321.00
GA	On Zayo Network	158.06	14741.80
GA	On Zayo Network	133.61	14008.30
GA	On Zayo Network	102.85	13085.50
GA	Not on Zayo Network	847.47	30339.28
GA	On Zayo Network	528.63	22687.12
GA	On Zayo Network	320.36	19610.80
GA	On Zayo Network	250.39	17511.70
GA	On Zayo Network	1105.41	36529.84
GA	On Zayo Network	2754.48	76107.52
GA	Not on Zayo Network	121.66	13649.80
GA	On Zayo Network	130.23	13906.90
GA	On Zayo Network	777.26	28654.24
GA	Not on Zayo Network	1014.01	34336.24
GA	On Zayo Network	628.91	25093.84
GA	On Zayo Network	69.82	12094.60
GA	On Zayo Network	394.59	21837.70
GA	On Zayo Network	1027.61	34662.64
GA	On Zayo Network	263.5	17905.00
GA	Not on Zayo Network	5148.98	133575.52
GA	On Zayo Network	427.96	22838.80
GA	On Zayo Network	676.09	26226.16
GA	Not on Zayo Network	895.38	31489.12
GA	On Zayo Network	939.72	32553.28
GA	On Zayo Network	524.48	22587.52
GA	On Zayo Network	538.36	22920.64
GA	On Zayo Network	732.75	27586.00
GA	On Zayo Network	156.45	14693.50
GA	Not on Zayo Network	320.54	19616.20
GA	Not on Zayo Network	344.79	20343.70
GA	On Zayo Network	331.94	19958.20
GA	On Zayo Network	1252.71	40065.04
GA	On Zayo Network	68.79	12063.70
GA	On Zayo Network	1704.55	50909.20
GA	On Zayo Network	276.86	18305.80
GA	On Zayo Network	523.85	22572.40
GA	Not on Zayo Network	328.38	19851.40
GA	On Zayo Network	120.82	13624.60
GA	On Zayo Network	617.14	24811.36
GA	Not on Zayo Network	270.26	18107.80
GA	On Zayo Network	198.49	15954.70
GA	Not on Zayo Network	271.83	18154.90
GA	On Zayo Network	302.93	19087.90
GA	Not on Zayo Network	688.76	26530.24
GA	On Zayo Network	179.67	15390.10
GA	On Zayo Network	808.33	29399.92
GA	On Zayo Network	338.96	20168.80
GA	Not on Zayo Network	2128.21	61077.04
GA	Not on Zayo Network	1054.01	35296.24
GA	Not on Zayo Network	632.36	25176.64
GA	On Zayo Network	632.79	25186.96
GA	On Zayo Network	187.34	15620.20
GA	On Zayo Network	187.53	15625.90
GA	On Zayo Network	199.8	15994.00
GA	On Zayo Network	508.59	22206.16
GA	On Zayo Network	227.36	16820.80
GA	Not on Zayo Network	1193.78	38650.72
GA	Not on Zayo Network	336.12	20083.60
GA	On Zayo Network	1188.86	38532.64
GA	On Zayo Network	1052.4	35257.60
GA	On Zayo Network	979.19	33500.56
GA	Not on Zayo Network	440.48	23214.40
GA	Not on Zayo Network	204.81	16144.30
GA	On Zayo Network	162.26	14867.80
GA	Not on Zayo Network	210.26	16307.80
GA	On Zayo Network	306.94	19208.20
GA	Not on Zayo Network	134.23	14026.90
GA	On Zayo Network	350.03	20500.90
GA	On Zayo Network	237.77	17133.10
GA	Not on Zayo Network	289.44	18683.20
GA	Not on Zayo Network	608.75	24610.00
GA	On Zayo Network	333.26	19997.80
GA	On Zayo Network	290.97	18729.10
GA	On Zayo Network	395.84	21875.20
GA	On Zayo Network	857.44	30578.56
GA	Not on Zayo Network	1070.52	35692.48
GA	Not on Zayo Network	733.35	27600.40
GA	On Zayo Network	73.01	12190.30
GA	On Zayo Network	536.19	22868.56
GA	Not on Zayo Network	1728.27	51478.48
GA	Not on Zayo Network	5951.7	152840.80
GA	On Zayo Network	164.2	14926.00
GA	On Zayo Network	400.08	22002.40
GA	Not on Zayo Network	553.35	23280.40
GA	On Zayo Network	802.86	29268.64
GA	Not on Zayo Network	263.98	17919.40
GA	Not on Zayo Network	295.49	18864.70
GA	Not on Zayo Network	485.69	24570.70
GA	On Zayo Network	663.94	25934.56
GA	On Zayo Network	496.31	24889.30
GA	Not on Zayo Network	604.05	24497.20
GA	Not on Zayo Network	25.06	10751.80
TX	Not on Zayo Network	205.22	24313.20
GA	Not on Zayo Network	76.77	12303.10
GA	Not on Zayo Network	740.49	27771.76
GA	On Zayo Network	345.74	20372.20
CO	On Zayo Network	700.92	33427.60
TX	On Zayo Network	9180.22	241505.50
GA	On Zayo Network	20.37	10611.10
GA	Not on Zayo Network	4304.15	113299.60
CO	On Zayo Network	105.44	17144.80
GA	Not on Zayo Network	465.71	23971.30
CO	On Zayo Network	257.74	23998.30
CO	Not on Zayo Network	1272.55	50576.50
GA	On Zayo Network	66.45	11993.50
CO	On Zayo Network	247	23515.00
CO	On Zayo Network	71.8	15631.00
TX	On Zayo Network	297.58	29854.80
GA	On Zayo Network	120.14	13604.20
GA	On Zayo Network	280.06	18401.80
TX	On Zayo Network	239.8	26388.00
CO	On Zayo Network	132.44	18359.80
TX	On Zayo Network	110.73	18643.80
TX	On Zayo Network	80.14	16808.40
TX	On Zayo Network	2222.31	67557.75
TX	On Zayo Network	5827.18	157679.50
TX	Not on Zayo Network	266.75	28005.00
TX	Not on Zayo Network	10284.57	269114.25
CO	On Zayo Network	95.03	16676.35
CO	On Zayo Network	103.07	17038.15
CO	On Zayo Network	148.72	19092.40
CO	Not on Zayo Network	1709.79	63693.70
GA	On Zayo Network	651.86	25644.64
CO	On Zayo Network	216.6	22147.00
GA	Not on Zayo Network	706.01	26944.24
GA	Not on Zayo Network	70.06	12101.80
GA	On Zayo Network	457.2	23716.00
CO	Not on Zayo Network	273.01	24685.45
GA	On Zayo Network	507.22	22173.28
CO	On Zayo Network	783.02	35890.60
GA	Not on Zayo Network	408.32	22249.60
TX	On Zayo Network	510.93	24773.25
TX	Not on Zayo Network	6113.96	164849.00
CO	Not on Zayo Network	314.38	26547.10
CO	On Zayo Network	45.4	14443.00
GA	On Zayo Network	8.86	10265.80
GA	On Zayo Network	678.61	26286.64
GA	On Zayo Network	1318.86	41652.64
GA	Not on Zayo Network	955.91	32941.84
TX	On Zayo Network	657.46	28436.50
TX	Not on Zayo Network	626.15	27653.75
TX	On Zayo Network	384.82	35089.20
TX	On Zayo Network	596.58	26914.50
GA	On Zayo Network	374.79	21243.70
GA	On Zayo Network	539.41	22945.84
TX	Not on Zayo Network	535.5	25387.50
TX	Not on Zayo Network	112.44	18746.40
GA	Not on Zayo Network	365.11	20953.30
CO	On Zayo Network	96.49	16742.05
TX	Not on Zayo Network	1158.8	40970.00
GA	Not on Zayo Network	41.15	11234.50
GA	On Zayo Network	105.12	13153.60
GA	On Zayo Network	111.42	13342.60
GA	On Zayo Network	1055.22	35325.28
GA	On Zayo Network	133.32	13999.60
GA	On Zayo Network	148.74	14462.20
GA	On Zayo Network	8.14	10244.20
GA	On Zayo Network	162.04	14861.20
GA	On Zayo Network	242.48	17274.40
GA	Not on Zayo Network	2357.82	66587.68
TX	Not on Zayo Network	584.64	26616.00
TX	Not on Zayo Network	191.91	23514.60
TX	Not on Zayo Network	6766.2	181155.00
GA	On Zayo Network	2212.89	63109.36
GA	Not on Zayo Network	1444.18	44660.32
CO	Not on Zayo Network	763.09	35292.70
GA	Not on Zayo Network	662.09	25890.16
GA	On Zayo Network	110.85	13325.50
GA	On Zayo Network	722.68	27344.32
GA	On Zayo Network	822	29728.00
GA	On Zayo Network	38.7	11161.00
CO	On Zayo Network	417.97	31208.65
GA	Not on Zayo Network	24.82	10744.60
GA	Not on Zayo Network	85.1	12553.00
GA	Not on Zayo Network	174.8	15244.00
GA	On Zayo Network	63.59	11907.70
GA	On Zayo Network	159.56	14786.80
GA	On Zayo Network	125.01	13750.30
GA	Not on Zayo Network	9939.92	248558.08
GA	On Zayo Network	3.56	10106.80
GA	On Zayo Network	42.61	11278.30
GA	On Zayo Network	39.25	11177.50
GA	On Zayo Network	10.61	10318.30
GA	Not on Zayo Network	726.99	27447.76
GA	On Zayo Network	200.81	16024.30
GA	On Zayo Network	14.11	10423.30
GA	On Zayo Network	1731.66	51559.84
GA	Build in Progress	991.9	33805.60
GA	Not on Zayo Network	249.67	17490.10
GA	Not on Zayo Network	0.88	10026.40
GA	On Zayo Network	115.46	13463.80
GA	Not on Zayo Network	27275.69	664616.56
GA	On Zayo Network	1360.54	42652.96
GA	On Zayo Network	19.26	10577.80
GA	On Zayo Network	122.95	13688.50
GA	Not on Zayo Network	2185.29	62446.96
GA	On Zayo Network	1340.72	42177.28
GA	On Zayo Network	9.22	10276.60
GA	On Zayo Network	47.75	11432.50
GA	On Zayo Network	1687.28	50494.72
GA	Not on Zayo Network	734.32	27623.68
GA	On Zayo Network	271.85	18155.50
GA	Not on Zayo Network	53.19	11595.70
GA	On Zayo Network	33.57	11007.10
GA	On Zayo Network	38.99	11169.70
GA	On Zayo Network	11354.04	282496.96
TX	On Zayo Network	182.47	22948.20
CO	Not on Zayo Network	32.94	13882.30
CO	On Zayo Network	137.39	18582.55
CO	On Zayo Network	2086.05	74981.50
GA	Not on Zayo Network	1523.54	46564.96
GA	Not on Zayo Network	1990.53	57772.72
GA	Not on Zayo Network	1132.78	37186.72
GA	Not on Zayo Network	1360.85	42660.40
GA	Not on Zayo Network	347.87	20436.10
GA	Not on Zayo Network	293.05	18791.50
GA	Not on Zayo Network	92.71	12781.30
TX	Not on Zayo Network	663.53	28588.25
GA	Not on Zayo Network	1885.17	55244.08
GA	Not on Zayo Network	2187.18	62492.32
CO	On Zayo Network	104.44	17099.80
CO	On Zayo Network	141.29	18758.05
CO	On Zayo Network	1037.96	43538.80
GA	On Zayo Network	199.65	15989.50
GA	Not on Zayo Network	2419.32	68063.68
GA	Not on Zayo Network	90.79	12723.70
GA	On Zayo Network	1055.11	35322.64
GA	On Zayo Network	372.28	21168.40
GA	On Zayo Network	52.01	11560.30
GA	Not on Zayo Network	11.16	10334.80
GA	On Zayo Network	47.69	11430.70
GA	On Zayo Network	800.64	29215.36
CO	On Zayo Network	96.73	16752.85
GA	On Zayo Network	18210.93	447062.32
GA	On Zayo Network	452.79	23583.70
GA	Not on Zayo Network	143.37	14301.10
GA	On Zayo Network	59.01	11770.30
GA	Not on Zayo Network	557.33	23375.92
GA	Not on Zayo Network	20.23	10606.90
GA	On Zayo Network	278.27	18348.10
GA	Not on Zayo Network	393.6	21808.00
GA	On Zayo Network	297.09	18912.70
GA	Not on Zayo Network	1415.57	43973.68
GA	Not on Zayo Network	71.26	12137.80
GA	Not on Zayo Network	249.74	17492.20
GA	Not on Zayo Network	845.04	30280.96
GA	Not on Zayo Network	111.42	13342.60
GA	Not on Zayo Network	30.88	10926.40
GA	Not on Zayo Network	203.37	16101.10
GA	Not on Zayo Network	160.77	14823.10
GA	Not on Zayo Network	306.2	19186.00
GA	Not on Zayo Network	44.56	11336.80
GA	Not on Zayo Network	553.74	23289.76
GA	On Zayo Network	91.46	12743.80
GA	Not on Zayo Network	2307.83	65387.92
GA	Not on Zayo Network	410.5	22315.00
CO	Not on Zayo Network	494.03	34631.35
GA	On Zayo Network	1058.57	35405.68
GA	On Zayo Network	1155.78	37738.72
GA	On Zayo Network	279.18	18375.40
GA	On Zayo Network	2335	66040.00
GA	Not on Zayo Network	1517.24	46413.76
GA	On Zayo Network	713.08	27113.92
GA	Not on Zayo Network	553.37	23280.88
GA	Not on Zayo Network	26.62	10798.60
GA	Not on Zayo Network	385.93	21577.90
GA	On Zayo Network	23.1	10693.00
GA	On Zayo Network	359.92	20797.60
GA	On Zayo Network	49.66	11489.80
GA	On Zayo Network	3987.07	105689.68
GA	Not on Zayo Network	636.02	25264.48
GA	On Zayo Network	18.91	10567.30
GA	On Zayo Network	20.21	10606.30
GA	On Zayo Network	202.02	16060.60
GA	On Zayo Network	2212.18	63092.32
GA	Not on Zayo Network	1989.82	57755.68
TX	On Zayo Network	319.37	31162.20
GA	Not on Zayo Network	1074.89	35797.36
GA	On Zayo Network	1.17	10035.10
CO	On Zayo Network	66.03	15371.35
CO	On Zayo Network	447.82	32551.90
GA	Not on Zayo Network	133.55	14006.50
GA	Not on Zayo Network	617.59	24822.16
GA	Not on Zayo Network	370.97	21129.10
GA	Not on Zayo Network	789.62	28950.88
CO	On Zayo Network	582.79	29883.70
CO	Not on Zayo Network	0.06	12402.70
CO	Not on Zayo Network	91	16495.00
CO	On Zayo Network	22.53	13413.85
TX	Not on Zayo Network	251.92	27115.20
GA	On Zayo Network	2137.78	61306.72
TX	Not on Zayo Network	421.01	37260.60
GA	Not on Zayo Network	282.53	18475.90
GA	On Zayo Network	1068.02	35632.48
GA	On Zayo Network	188.62	15658.60
GA	On Zayo Network	6.11	10183.30
GA	On Zayo Network	55.89	11676.70
CO	Not on Zayo Network	674.29	32628.70
CO	On Zayo Network	6.58	12696.10
CO	On Zayo Network	94.71	16661.95
GA	Not on Zayo Network	47.86	11435.80
GA	Not on Zayo Network	30.32	10909.60
CO	On Zayo Network	908.36	39650.80
GA	Not on Zayo Network	858.19	30596.56
GA	Not on Zayo Network	14.97	10449.10
CO	On Zayo Network	72.52	15663.40
GA	On Zayo Network	405.19	22155.70
GA	On Zayo Network	1580.14	47923.36
GA	On Zayo Network	20.63	10618.90
CO	On Zayo Network	306.61	26197.45
CO	On Zayo Network	193.81	21121.45
CO	On Zayo Network	79.71	15986.95
GA	On Zayo Network	304.81	19144.30
GA	On Zayo Network	3017.73	82425.52
GA	On Zayo Network	109.15	13274.50
GA	On Zayo Network	39.53	11185.90
CO	Not on Zayo Network	1165.96	47378.80
TX	Not on Zayo Network	313.22	30793.20
GA	Not on Zayo Network	2677.4	74257.60
GA	Not on Zayo Network	16116.73	396801.52
GA	Not on Zayo Network	16116.73	396801.52
GA	On Zayo Network	296.34	18890.20
GA	On Zayo Network	456.25	23687.50
GA	On Zayo Network	92.47	12774.10
GA	Build in Progress	148.22	14446.60
GA	On Zayo Network	347.16	20414.80
GA	On Zayo Network	109.97	13299.10
GA	On Zayo Network	1537.07	46889.68
GA	On Zayo Network	57.36	11720.80
GA	On Zayo Network	1711.15	51067.60
GA	On Zayo Network	1185.23	38445.52
GA	On Zayo Network	2602.27	72454.48
GA	On Zayo Network	95.82	12874.60
GA	On Zayo Network	97.57	12927.10
GA	On Zayo Network	598	24352.00
GA	Build in Progress	276.35	18290.50
GA	On Zayo Network	211.29	16338.70
GA	Not on Zayo Network	111.59	13347.70
GA	On Zayo Network	387.63	21628.90
GA	On Zayo Network	413.02	22390.60
GA	On Zayo Network	411.84	22355.20
GA	On Zayo Network	921.39	32113.36
GA	On Zayo Network	1273.54	40564.96
GA	On Zayo Network	185.76	15572.80
GA	On Zayo Network	260.54	17816.20
GA	On Zayo Network	151.21	14536.30
GA	On Zayo Network	147.45	14423.50
GA	On Zayo Network	225.25	16757.50
GA	On Zayo Network	691.86	26604.64
GA	On Zayo Network	297.34	18920.20
GA	On Zayo Network	331.34	19940.20
GA	Build in Progress	107.63	13228.90
GA	On Zayo Network	657.46	25779.04
GA	On Zayo Network	360.91	20827.30
GA	On Zayo Network	540.75	22978.00
GA	On Zayo Network	418.02	22540.60
GA	On Zayo Network	410.85	22325.50
GA	On Zayo Network	116.9	13507.00
GA	On Zayo Network	622.35	24936.40
GA	On Zayo Network	426.83	22804.90
GA	Not on Zayo Network	372.69	21180.70
GA	On Zayo Network	531.35	22752.40
GA	On Zayo Network	22.54	10676.20
GA	On Zayo Network	184.47	15534.10
GA	On Zayo Network	1762.25	52294.00
GA	Build in Progress	6.26	10187.80
GA	On Zayo Network	44.17	11325.10
GA	On Zayo Network	385.99	21579.70
GA	On Zayo Network	1318.48	41643.52
GA	On Zayo Network	627.87	25068.88
GA	On Zayo Network	236.14	17084.20
GA	On Zayo Network	136.34	14090.20
GA	On Zayo Network	283.6	18508.00
GA	On Zayo Network	84.68	12540.40
GA	On Zayo Network	4.35	10130.50
GA	On Zayo Network	248.84	17465.20
GA	On Zayo Network	188.61	15658.30
GA	On Zayo Network	134.51	14035.30
GA	On Zayo Network	160.64	14819.20
GA	On Zayo Network	157.57	14727.10
GA	On Zayo Network	581.9	23965.60
GA	On Zayo Network	1702.01	50848.24
GA	On Zayo Network	81.44	12443.20
GA	On Zayo Network	254.1	17623.00
GA	On Zayo Network	157	14710.00
GA	On Zayo Network	1219.22	39261.28
GA	On Zayo Network	386.62	21598.60
GA	On Zayo Network	860.6	30654.40
GA	On Zayo Network	37.38	11121.40
GA	On Zayo Network	114.16	13424.80
GA	On Zayo Network	203.57	16107.10
GA	On Zayo Network	268.2	18046.00
GA	On Zayo Network	170.13	15103.90
GA	On Zayo Network	244.13	17323.90
GA	Not on Zayo Network	298.11	18943.30
GA	On Zayo Network	56.49	11694.70
GA	On Zayo Network	1.16	10034.80
GA	On Zayo Network	181.58	15447.40
GA	On Zayo Network	370.49	21114.70
GA	On Zayo Network	229.54	16886.20
GA	On Zayo Network	179.05	15371.50
GA	On Zayo Network	397.07	21912.10
